day,rh_10am,rh_4pm,rh_mean,tmin,tmax,tmean,ea_mbar,ed_mbar,vpd_mbar,wind_kmday,f_u,ra_mmday,n_hr,N_hr,n_over_N,rs_mmday,f_T,f_ed,f_nN,rnl_mmday,rn_mmday,w_factor,c_factor,eto_mmday,kc,etc_mmday
44.0,84.0,77.0,80.5,21.0,30.0,25.5,37.79,30.420949999999998,7.369050000000001,111.39,0.303453,18.55,5.3,15.8,0.3354430379746835,3.3612341772151897,19.9,0.07731716335925198,0.4018987341772151,0.6183660346767008,1.9025595982346915,0.744,1.10748637096774,2.2016401404259347,1.2,2.6419681685111214
45.0,99.0,99.0,99.0,19.0,25.0,22.0,38.79,38.4021,0.3879000000000019,112.39,0.306153,19.55,0.5,16.8,0.02976190476190476,0.5409226190476191,20.9,0.047334517035984236,0.12678571428571428,0.12542801755303035,0.28026394673268396,0.744,1.10748637096774,0.2645985439976737,1.2,0.3175182527972084
46.0,85.0,84.0,84.5,19.0,27.0,23.0,39.79,33.622550000000004,6.167449999999995,113.39,0.308853,20.55,0.8,17.8,0.0449438202247191,0.7117977528089887,21.9,0.06486619824100143,0.1404494382022472,0.199518222117687,0.33433009248905454,0.744,1.10748637096774,0.815530215958385,1.2,0.978636259150062
47.0,74.0,74.0,74.0,17.0,27.0,22.0,40.79,30.1846,10.6054,114.39,0.311553,21.55,9.0,18.8,0.4787234042553191,5.408244680851063,22.9,0.07826174154677132,0.5308510638297872,0.9513880285416069,3.1047954820966908,0.744,1.10748637096774,3.4950373301176096,1.2,4.194044796141132
48.0,79.0,64.0,71.5,18.0,30.0,24.0,41.79,29.87985,11.910149999999998,115.39,0.314253,22.55,5.5,19.8,0.2777777777777778,3.3819444444444446,23.9,0.07948515721477814,0.35,0.664893340101619,1.8715649932317144,0.744,1.10748637096774,2.6032588470239966,1.2,3.123910616428796
49.0,93.0,73.0,83.0,18.0,27.0,22.5,42.79,35.515699999999995,7.274300000000004,116.39,0.316953,23.55,1.9,20.8,0.09134615384615384,1.3256009615384614,24.9,0.05778177942789714,0.18221153846153848,0.26215982242260005,0.732040898731246,0.744,1.10748637096774,1.2568584821537863,1.2,1.5082301785845436
50.0,76.0,74.0,75.0,20.0,30.0,25.0,43.79,32.8425,10.947499999999998,117.39,0.319653,24.55,5.2,21.8,0.23853211009174313,3.177981651376147,25.9,0.06784314405513381,0.31467889908256885,0.5529340723326535,1.830552166199457,0.744,1.10748637096774,2.5004578357679272,1.2,3.0005494029215125
51.0,78.0,78.0,78.0,20.0,29.0,24.5,44.79,34.9362,9.8538,118.39,0.322353,25.55,1.2,22.8,0.05263157894736842,0.9223684210526316,26.9,0.05992984946364954,0.1473684210526316,0.2375745400843202,0.4542017757051535,0.744,1.10748637096774,1.27481098357224,1.2,1.529773180286688
52.0,95.0,71.0,83.0,17.0,30.0,23.5,45.79,38.0057,7.784300000000002,119.39,0.32505300000000004,26.55,6.7,23.8,0.2815126050420168,3.9870798319327734,27.9,0.04874544206594428,0.3533613445378151,0.4805706630634915,2.5097392108860888,0.744,1.10748637096774,2.7853341483478746,1.2,3.3424009780174493
53.0,79.0,67.0,73.0,20.0,30.0,25.0,46.79,34.1567,12.633299999999998,120.39,0.327753,27.55,4.0,24.8,0.16129032258064516,2.471774193548387,28.9,0.06284757205112762,0.24516129032258066,0.4452851846874087,1.4085454604738816,0.744,1.10748637096774,2.3345280311000858,1.2,2.8014336373201028
54.0,78.0,65.0,71.5,21.0,28.0,24.5,47.79,34.169850000000004,13.620149999999995,121.39,0.330453,28.55,6.3,25.8,0.2441860465116279,3.7357558139534883,29.9,0.06279807621248246,0.31976744186046513,0.6004153275082988,2.201401532956817,0.744,1.10748637096774,3.0899451336224204,1.2,3.7079341603469045
55.0,77.0,69.0,73.0,18.0,30.0,24.0,48.79,35.6167,13.173299999999998,122.39,0.33315300000000003,29.55,4.2,26.8,0.15671641791044777,2.565485074626866,30.9,0.05740919437268949,0.241044776119403,0.427599959907091,1.4965138460630585,0.744,1.10748637096774,2.477358137940028,1.2,2.9728297655280334
56.0,75.0,97.0,86.0,18.0,30.0,24.0,49.79,42.819399999999995,6.970600000000005,123.39,0.335853,30.55,8.8,27.8,0.3165467625899281,5.085251798561152,31.9,0.032079249792586195,0.3848920863309353,0.3938708752411312,3.4200679736797324,0.744,1.10748637096774,3.4817725605694236,1.2,4.178127072683308
57.0,76.0,65.0,70.5,21.0,32.0,26.5,50.79,35.80695,14.983049999999999,124.39,0.33855300000000005,31.55,7.4,28.8,0.2569444444444445,4.303298611111112,32.9,0.05670880151436891,0.33125000000000004,0.6180196075037817,2.609454350829552,0.744,1.10748637096774,3.5882652642518664,1.2,4.30591831710224
58.0,78.0,60.0,69.0,20.0,33.0,26.5,51.79,35.735099999999996,16.054900000000004,125.39,0.34125300000000003,32.55,8.0,29.8,0.2684563758389262,4.619127516778523,33.9,0.056973093391569585,0.3416107382550336,0.6597828347522633,2.804562802831629,0.744,1.10748637096774,3.8642006008962344,1.2,4.637040721075481
59.0,82.0,67.0,74.5,19.0,30.0,24.5,52.79,39.32855,13.46145,126.39,0.343953,33.55,2.7,30.8,0.08766233766233766,1.7205357142857143,34.9,0.04406509318319296,0.1788961038961039,0.2751192647413903,1.0152825209728955,0.744,1.10748637096774,2.1492737269086093,1.2,2.579128472290331
60.0,78.0,89.0,83.5,18.0,30.0,24.0,53.79,44.91465,8.875349999999997,127.39,0.346653,34.55,7.3,31.8,0.22955974842767293,4.21564465408805,35.9,0.02511907080992848,0.30660377358490565,0.2764875081838118,2.8852459823822256,0.744,1.10748637096774,3.249641537370159,1.2,3.8995698448441907
61.0,85.0,76.0,80.5,21.0,28.0,24.5,54.79,44.10595,10.68405,128.39,0.34935299999999997,35.55,2.8,32.8,0.08536585365853659,1.7673780487804878,36.9,0.027785833334521615,0.17682926829268295,0.18130256250775353,1.1442309740776122,0.744,1.10748637096774,2.00103860750749,1.2,2.401246329008988
62.0,89.0,63.0,76.0,21.0,31.0,26.0,55.79,42.4004,13.389600000000002,129.39,0.352053,36.55,4.4,33.8,0.13017751479289943,2.628994082840237,37.9,0.0334914060625755,0.2171597633136095,0.27564616233501865,1.6960993997951592,0.744,1.10748637096774,2.7339887638363796,1.2,3.2807865166036554
